,Código comuna,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2015,Límite inferior,Límite superior,Metodología de Estimación
112,6310,VI del Libertador General Bernardo O'Higgins ,Santa Cruz,6002,0.16143956780433655,0.10544067621231079,0.23922577500343323,Estimación Directa
113,7101,VII del Maule ,Talca,36022,0.13989344239234924,0.11340964585542679,0.17136640846729279,Estimación Directa
114,7102,VII del Maule ,Constitución,13397,0.2386143058538437,0.15603555738925934,0.34693101048469543,Estimación Directa
115,7103,VII del Maule ,Curepto,1642.138,0.1890774369239807,0.1269688457250595,0.2499164342880249,SAE
116,7104,VII del Maule ,Empedrado,954.6979,0.2515673041343689,0.1803312450647354,0.3302016258239746,SAE
117,7105,VII del Maule ,Maule,4105.382,0.17621178925037384,0.12262088805437088,0.24422214925289154,SAE
118,7106,VII del Maule ,Pelarco,1052.518,0.155376136302948,0.09504109621047974,0.21161846816539764,SAE
119,7107,VII del Maule ,Pencahue,1869.307,0.209869384765625,0.15054310858249664,0.2786473035812378,SAE
120,7108,VII del Maule ,Río Claro,1439.271,0.1119619831442833,0.05035100504755974,0.14365072548389435,SAE
121,7109,VII del Maule ,San Clemente,9121,0.2327023148536682,0.16406242549419403,0.3190974295139313,Estimación Directa
122,7110,VII del Maule ,San Rafael,2080.268,0.24041001498699188,0.18371324241161346,0.32671380043029785,SAE
123,7201,VII del Maule ,Cauquenes,11934,0.2844815254211426,0.19782070815563202,0.3906199038028717,Estimación Directa
124,7202,VII del Maule ,Chanco,1980.637,0.21290306746959686,0.1524808257818222,0.2851569652557373,SAE
125,7203,VII del Maule ,Pelluhue,1250.795,0.15438099205493927,0.08992686867713928,0.22073212265968323,SAE
126,7301,VII del Maule ,Curicó,22607,0.1542392373085022,0.10140213370323181,0.22763359546661377,Estimación Directa
127,7302,VII del Maule ,Hualañe,1639.836,0.15790432691574097,0.08569171279668808,0.20828001201152802,SAE
128,7303,VII del Maule ,Licantén,1687.803,0.2257024645805359,0.17240528762340546,0.31939053535461426,SAE
129,7304,VII del Maule ,Molina,10267.44,0.24022455513477325,0.18990154564380646,0.3091074228286743,SAE
130,7305,VII del Maule ,Rauco,1817.716,0.18149937689304352,0.11051611602306366,0.23463299870491028,SAE
131,7306,VII del Maule ,Romeral,2425.943,0.16525498032569885,0.10511292517185211,0.21650074422359467,SAE
132,7307,VII del Maule ,Sagrada Familia,5529.761,0.29498350620269775,0.2408667653799057,0.3916613757610321,SAE
133,7308,VII del Maule ,Teno,4811,0.1721287965774536,0.10575713962316513,0.26768556237220764,Estimación Directa
134,7309,VII del Maule ,Vichuquén,1192.742,0.2532360851764679,0.198503315448761,0.35242313146591187,SAE
135,7401,VII del Maule ,Linares,13640,0.14933542907238007,0.0970437228679657,0.22285021841526031,Estimación Directa
136,7402,VII del Maule ,Colbún,3691,0.1987721472978592,0.13508979976177216,0.2826637923717499,Estimación Directa
137,7403,VII del Maule ,Longaví,6199.373,0.2168143391609192,0.17775914072990417,0.2589111328125,SAE
138,7404,VII del Maule ,Parral,8726,0.23624008893966675,0.17485088109970093,0.3110576868057251,Estimación Directa
139,7405,VII del Maule ,Retiro,3765.668,0.22805646061897278,0.1660420000553131,0.3005232810974121,SAE
140,7406,VII del Maule ,San Javier,10406,0.25325512886047363,0.17132145166397095,0.3574700653553009,Estimación Directa
141,7407,VII del Maule ,Villa Alegre,3392,0.2371530383825302,0.19091282784938812,0.2905707359313965,Estimación Directa
142,7408,VII del Maule ,Yerbas Buenas,2273,0.1327454298734665,0.05831727012991905,0.2744763493537903,Estimación Directa
143,8101,VIII del Biobío,Concepción,25793,0.11602006107568741,0.08300775289535522,0.15987244248390198,Estimación Directa
144,8102,VIII del Biobío,Coronel,16408,0.14535146951675415,0.12277195602655411,0.1712728887796402,Estimación Directa
145,8103,VIII del Biobío,Chiguayante,19800,0.13885188102722168,0.1026248037815094,0.1852276474237442,Estimación Directa
146,8104,VIII del Biobío,Florida,1735.374,0.1875268816947937,0.14764320850372314,0.2922641634941101,SAE
147,8105,VIII del Biobío,Hualqui,4106.707,0.1726958304643631,0.11431475728750229,0.22470444440841675,SAE
148,8106,VIII del Biobío,Lota,9254,0.20054611563682556,0.15744085609912872,0.2519243359565735,Estimación Directa
149,8107,VIII del Biobío,Penco,9580,0.1731429547071457,0.10867515951395035,0.26450517773628235,Estimación Directa
150,8108,VIII del Biobío,San Pedro De La Paz,15002,0.14536961913108826,0.09760162979364395,0.21104848384857178,Estimación Directa
151,8109,VIII del Biobío,Santa Juana,3234.105,0.2406149059534073,0.1742781698703766,0.31792572140693665,SAE
152,8110,VIII del Biobío,Talcahuano,21668,0.1290353387594223,0.07979524880647659,0.20199079811573029,Estimación Directa
153,8111,VIII del Biobío,Tomé,6727,0.1187194436788559,0.06894737482070923,0.19682563841342926,Estimación Directa
154,8112,VIII del Biobío,Hualpén,8400,0.1019442230463028,0.06467882543802261,0.1570747196674347,Estimación Directa
155,8201,VIII del Biobío,Lebu,6696,0.26859205961227417,0.1819596141576767,0.3774400055408478,Estimación Directa
156,8202,VIII del Biobío,Arauco,7286,0.1634511798620224,0.13119655847549438,0.20179378986358643,Estimación Directa
157,8203,VIII del Biobío,Cañete,13033,0.38147225975990295,0.33668872714042664,0.42836567759513855,Estimación Directa
158,8204,VIII del Biobío,Contulmo,1487.31,0.3283970057964325,0.2667250335216522,0.42378827929496765,SAE
159,8205,VIII del Biobío,Curanilahue,4322,0.14837446808815002,0.12613292038440704,0.1737581491470337,Estimación Directa
160,8206,VIII del Biobío,Los Alamos,5702.734,0.2657378613948822,0.2103879302740097,0.3469691574573517,SAE
161,8207,VIII del Biobío,Tirúa,3262.057,0.29625439643859863,0.22060373425483704,0.3682781457901001,SAE
162,8301,VIII del Biobío,Los Ángeles,41059,0.19578568637371063,0.15920300781726837,0.23839116096496582,Estimación Directa
163,8302,VIII del Biobío,Antuco,836.9624,0.2530116140842438,0.1944780945777893,0.3286453187465668,SAE
164,8303,VIII del Biobío,Cabrero,6130.995,0.1912529319524765,0.1394423544406891,0.24600079655647278,SAE
165,8304,VIII del Biobío,Laja,5290,0.2770213782787323,0.2187143713235855,0.3440278172492981,Estimación Directa
166,8305,VIII del Biobío,Mulchén,5318,0.1967589110136032,0.10283847898244858,0.34360384941101074,Estimación Directa
167,8306,VIII del Biobío,Nacimiento,4700,0.18499566614627838,0.1340842843055725,0.24966438114643097,Estimación Directa
168,8307,VIII del Biobío,Negrete,2489.269,0.28396859765052795,0.2123880833387375,0.35840940475463867,SAE
169,8308,VIII del Biobío,Quilaco,968.7823,0.28884387016296387,0.22297237813472748,0.38563138246536255,SAE
170,8309,VIII del Biobío,Quilleco,1781.417,0.17729073762893677,0.10813051462173462,0.22933396697044373,SAE
171,8310,VIII del Biobío,San Rosendo,750.4352,0.23111647367477417,0.17259585857391357,0.3098263740539551,SAE
172,8311,VIII del Biobío,Santa Bárbara,3266.837,0.24010267853736877,0.170680433511734,0.3042108416557312,SAE
173,8312,VIII del Biobío,Tucapel,3553.848,0.2612546980381012,0.20819348096847534,0.3518278896808624,SAE
174,8313,VIII del Biobío,Yumbel,4439.454,0.22186176478862762,0.14851315319538116,0.2926461696624756,SAE
175,8314,VIII del Biobío,Alto Biobío,6222.214,0.502358615398407,0.45753273367881775,0.6068543195724487,SAE
176,8401,VIII del Biobío,Chillan,28878,0.16256290674209595,0.1220594048500061,0.2132423222064972,Estimación Directa
177,8402,VIII del Biobío,Bulnes,4632.22,0.21679319441318512,0.15355388820171356,0.28777047991752625,SAE
178,8403,VIII del Biobío,Cobquecura,1452.372,0.32911211252212524,0.2653025984764099,0.43708279728889465,SAE
179,8404,VIII del Biobío,Coelemu,3974.665,0.2717162072658539,0.2190573662519455,0.35755470395088196,SAE
180,8405,VIII del Biobío,Coihueco,5586.81,0.22713378071784973,0.15784375369548798,0.28296759724617004,SAE
181,8406,VIII del Biobío,Chillan Viejo,3380,0.09915803372859955,0.06013879552483559,0.15920531749725342,Estimación Directa
182,8407,VIII del Biobío,El Carmen,4159.502,0.38729074597358704,0.3444346487522125,0.5036753416061401,SAE
183,8408,VIII del Biobío,Ninhue,1542.977,0.3317517638206482,0.24263150990009308,0.40042644739151,SAE
184,8409,VIII del Biobío,Ñiquén,2926.106,0.32176223397254944,0.2562868893146515,0.4043753743171692,SAE
185,8410,VIII del Biobío,Pemuco,1818.175,0.2010810524225235,0.12944471836090088,0.2553294003009796,SAE
186,8411,VIII del Biobío,Pinto,3293.05,0.295977920293808,0.21861450374126434,0.36965981125831604,SAE
